Starting with distance:  3
Starting with error rate:  0.2
Distance: 5, Error Rate: 0.3, Hidden Size: 32, Num Layers: 3, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.7436
Distance: 5, Error Rate: 0.3, Hidden Size: 32, Num Layers: 3, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 1.1763
Distance: 5, Error Rate: 0.3, Hidden Size: 32, Num Layers: 3, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 1.5507
Distance: 5, Error Rate: 0.3, Hidden Size: 32, Num Layers: 4, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.7521
Distance: 5, Error Rate: 0.3, Hidden Size: 32, Num Layers: 4, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.9307
Distance: 5, Error Rate: 0.3, Hidden Size: 32, Num Layers: 4, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 1.3688
Distance: 5, Error Rate: 0.3, Hidden Size: 32, Num Layers: 4, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 1.3549
Distance: 5, Error Rate: 0.3, Hidden Size: 32, Num Layers: 5, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.9595
Distance: 5, Error Rate: 0.3, Hidden Size: 32, Num Layers: 5, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.9458
Distance: 5, Error Rate: 0.3, Hidden Size: 32, Num Layers: 5, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 1.4274
Distance: 5, Error Rate: 0.3, Hidden Size: 32, Num Layers: 5, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 2.0054
Distance: 5, Error Rate: 0.3, Hidden Size: 64, Num Layers: 3, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.5826
Distance: 5, Error Rate: 0.3, Hidden Size: 64, Num Layers: 3, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.3554
Distance: 5, Error Rate: 0.3, Hidden Size: 64, Num Layers: 3, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 2.4409
Distance: 5, Error Rate: 0.3, Hidden Size: 64, Num Layers: 3, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 3.3383
Distance: 5, Error Rate: 0.3, Hidden Size: 64, Num Layers: 4, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.8806
